SBR_ENTRYPOINT;http://www.nltaxonomie.nl/nt20/kvk/20251210/entrypoints/kvk-rpt-jaarverantwoording-2025-nlgaap-klein-publicatiestukken.xsd;;;;;
SBR_CONNECT;SBR_LABEL;SBR_CONCEPT;SBR_AXIS[jenv-bw2-dim:BasisOfPreparationAxis];SBR_AXIS[jenv-bw2-dim:FinancialStatementsTypeAxis];SBR_AXIS[jenv-bw2-dim:ClassesOfIntangibleAssetsAxis];SBR_AXIS[rj-dim:ClassesOfRevaluationReserveAxis]
1-1-2021;Startdatum van de voorgaande periode waarop de jaarrekening betrekking heeft;jenv-bw2-i_FinancialReportingPeriodPreviousStartDate;;;;
1-1-2022;Startdatum van de periode waarop de jaarrekening betrekking heeft;jenv-bw2-i_FinancialReportingPeriodCurrentStartDate;;;;
31-12-2021;Einddatum van de voorgaande periode waarop de jaarrekening betrekking heeft;jenv-bw2-i_FinancialReportingPeriodPreviousEndDate;;;;
31-12-2022;Einddatum van de periode waarop de jaarrekening betrekking heeft;jenv-bw2-i_FinancialReportingPeriodCurrentEndDate;;;;
=GROUP(BEiv*+BEga*+BVrz*+BLas*+BSch*);Passiva;jenv-bw2-i_EquityAndLiabilities;jenv-bw2-dm:CommercialMember;jenv-bw2-dm:SeparateMember;;
=GROUP(BEivFir*-BEivFirHer*);Overige fiscale reserves;rj-i_OtherFiscalReserves;jenv-bw2-dm:CommercialMember;jenv-bw2-dm:SeparateMember;;
=GROUP(BEivHerHewBeg+BEivHerHewOhe+BEivHerHewSte+BEivHerHewBvs);Aangepaste herwaarderingsreserve na herrekening als gevolg van stelselwijziging;rj-i_AdjustedRevaluationReserveAfterRecalculationChangeAccountingPolicies;jenv-bw2-dm:CommercialMember;jenv-bw2-dm:SeparateMember;;jenv-bw2-dm:RevaluationReserveMember
=GROUP(BEivHerHewBeg+BEivHerHewOhe+BEivHerHewSte+BEivHerHewBvs);Aangepaste herwaarderingsreserve na herrekening als gevolg van stelselwijziging;rj-i_AdjustedRevaluationReserveAfterRecalculationChangeAccountingPolicies;jenv-bw2-dm:CommercialMember;jenv-bw2-dm:SeparateMember;;rj-dm:HedgedMember
=GROUP(BEivHerHewGhw+BEivHerHewOve+BEivHerHewHer+BEivHerHewVrh+BEivHerHewOvm);Mutatie in herwaarderingsreserve als gevolg van gerealiseerde herwaarderingen via winst-en-verliesrekening;rj-i_RevaluationReserveRealisedRevaluationsThroughIncomeStatement;jenv-bw2-dm:CommercialMember;jenv-bw2-dm:SeparateMember;;jenv-bw2-dm:RevaluationReserveMember
#NAAM?;Mutatie in herwaarderingsreserve als gevolg van gerealiseerde herwaarderingen via winst-en-verliesrekening;rj-i_RevaluationReserveRealisedRevaluationsThroughIncomeStatement;jenv-bw2-dm:CommercialMember;jenv-bw2-dm:SeparateMember;;rj-dm:HedgedMember
#NAAM?;Mutatie in herwaarderingsreserve als gevolg van stelselwijzigingen;rj-i_RevaluationReserveChangeAccountingPolicies;jenv-bw2-dm:CommercialMember;jenv-bw2-dm:SeparateMember;;jenv-bw2-dm:RevaluationReserveMember
#NAAM?;Mutatie in herwaarderingsreserve als gevolg van stelselwijzigingen;rj-i_RevaluationReserveChangeAccountingPolicies;jenv-bw2-dm:CommercialMember;jenv-bw2-dm:SeparateMember;;rj-dm:HedgedMember
=GROUP(BIva*+BMva*+BVas*+BFva*);Vaste activa;jenv-bw2-i_AssetsNoncurrent;jenv-bw2-dm:CommercialMember;jenv-bw2-dm:SeparateMember;;
=GROUP(BIva*+BMva*+BVas*+BFva*+BVrd*+BPro*+BVor*+Beff*+BLim*);Activa;jenv-bw2-i_Assets;jenv-bw2-dm:CommercialMember;jenv-bw2-dm:SeparateMember;;
=GROUP(BIva*-BIvaKou*);Overige immateriële vaste activa;rj-i_IntangibleAssetsOther;jenv-bw2-dm:CommercialMember;jenv-bw2-dm:SeparateMember;;
=GROUP(BIva???Cuh*-BIvaKouCuh*);Som der herwaarderingen die betrekking hebben op de immateriële vaste activa;jenv-bw2-i_IntangibleAssetsAccumulatedRevaluations;jenv-bw2-dm:CommercialMember;jenv-bw2-dm:SeparateMember;rj-dm:IntangibleAssetsOtherMember;
=GROUP(BLas*-BLasOdv*);Langlopende overige schulden;jenv-bw2-i_PayablesOtherNoncurrent;jenv-bw2-dm:CommercialMember;jenv-bw2-dm:SeparateMember;;
=GROUP(BVor*-BVorVao*);Kortlopende overige vorderingen;jenv-bw2-i_ReceivablesOtherCurrent;jenv-bw2-dm:CommercialMember;jenv-bw2-dm:SeparateMember;;
=GROUP(BVrd*+BPro*+BVor*+Beff*+BLim*);Vlottende activa;jenv-bw2-i_AssetsCurrent;jenv-bw2-dm:CommercialMember;jenv-bw2-dm:SeparateMember;;
BEiv*;Eigen vermogen;jenv-bw2-i_Equity;jenv-bw2-dm:CommercialMember;jenv-bw2-dm:SeparateMember;;
BEivAgi*;Agio;jenv-bw2-i_SharePremium;jenv-bw2-dm:CommercialMember;jenv-bw2-dm:SeparateMember;;
BEivFirHer*;Herinvesteringsreserve;jenv-bw2-i_ReinvestmentReserve;jenv-bw2-dm:FiscalMember;jenv-bw2-dm:SeparateMember;;
BEivGok*;Gestort en opgevraagd aandelenkapitaal;jenv-bw2-i_ShareCapitalPaidCalledUp;jenv-bw2-dm:CommercialMember;jenv-bw2-dm:SeparateMember;;
BEivHer*;Herwaarderingsreserves;jenv-bw2-i_RevaluationReserve;jenv-bw2-dm:CommercialMember;jenv-bw2-dm:SeparateMember;;
BEivHer*;Herwaarderingsreserves;jenv-bw2-i_RevaluationReserve;jenv-bw2-dm:CommercialMember;jenv-bw2-dm:SeparateMember;;jenv-bw2-dm:RevaluationReserveMember
BEivHer*;Herwaarderingsreserves;jenv-bw2-i_RevaluationReserve;jenv-bw2-dm:CommercialMember;jenv-bw2-dm:SeparateMember;;rj-dm:HedgedMember
BEivHer*-GROUP(BEivHerHewBeg+BEivHerHewOhe+BEivHerHewSte+BEivHerHewBvs);Mutatie in de herwaarderingsreserve gedurende de periode;jenv-bw2-i_RevaluationReserveMovement;jenv-bw2-dm:CommercialMember;jenv-bw2-dm:SeparateMember;;jenv-bw2-dm:RevaluationReserveMember
BEivHer*-GROUP(BEivHerHewBeg+BEivHerHewOhe+BEivHerHewSte+BEivHerHewBvs);Mutatie in de herwaarderingsreserve gedurende de periode;jenv-bw2-i_RevaluationReserveMovement;jenv-bw2-dm:CommercialMember;jenv-bw2-dm:SeparateMember;;rj-dm:HedgedMember
BEivHerHewBrh;Mutatie in herwaarderingsreserve als gevolg van belastingeffecten op gerealiseerde herwaarderingen;rj-i_RevaluationReserveRealisedRevaluationsTaxImpact;jenv-bw2-dm:CommercialMember;jenv-bw2-dm:SeparateMember;;jenv-bw2-dm:RevaluationReserveMember
BEivHerHewBrh;Mutatie in herwaarderingsreserve als gevolg van belastingeffecten op gerealiseerde herwaarderingen;rj-i_RevaluationReserveRealisedRevaluationsTaxImpact;jenv-bw2-dm:CommercialMember;jenv-bw2-dm:SeparateMember;;rj-dm:HedgedMember
BEivHerHewBvh;Belastingeffecten op gevormde herwaarderingen opgenomen in de herwaarderingsreserve;jenv-bw2-i_RevaluationReserveRevaluationsTaxImpact;jenv-bw2-dm:CommercialMember;jenv-bw2-dm:SeparateMember;;jenv-bw2-dm:RevaluationReserveMember
BEivHerHewBvh;Belastingeffecten op gevormde herwaarderingen opgenomen in de herwaarderingsreserve;jenv-bw2-i_RevaluationReserveRevaluationsTaxImpact;jenv-bw2-dm:CommercialMember;jenv-bw2-dm:SeparateMember;;rj-dm:HedgedMember
BEivHerHewBvs;Mutatie in herwaarderingsreserve als gevolg van belastingeffect van stelselwijzigingen;rj-i_RevaluationReserveChangeAccountingPoliciesTaxImpact;jenv-bw2-dm:CommercialMember;jenv-bw2-dm:SeparateMember;;jenv-bw2-dm:RevaluationReserveMember
BEivHerHewBvs;Mutatie in herwaarderingsreserve als gevolg van belastingeffect van stelselwijzigingen;rj-i_RevaluationReserveChangeAccountingPoliciesTaxImpact;jenv-bw2-dm:CommercialMember;jenv-bw2-dm:SeparateMember;;rj-dm:HedgedMember
BEivHerHewGha;Mutatie in herwaarderingsreserve als gevolg van gerealiseerde herwaarderingen via afgedekte activa of passiva;rj-i_RevaluationReserveRealisedRevaluationsThroughHedgedAssetsLiabilities;jenv-bw2-dm:CommercialMember;jenv-bw2-dm:SeparateMember;;jenv-bw2-dm:RevaluationReserveMember
BEivHerHewGha;Mutatie in herwaarderingsreserve als gevolg van gerealiseerde herwaarderingen via afgedekte activa of passiva;rj-i_RevaluationReserveRealisedRevaluationsThroughHedgedAssetsLiabilities;jenv-bw2-dm:CommercialMember;jenv-bw2-dm:SeparateMember;;rj-dm:HedgedMember
BEivHerHewGhr;Mutatie in herwaarderingsreserve als gevolg van gerealiseerde herwaarderingen via overige reserves;rj-i_RevaluationReserveRealisedRevaluationsThroughOtherReserves;jenv-bw2-dm:CommercialMember;jenv-bw2-dm:SeparateMember;;jenv-bw2-dm:RevaluationReserveMember
BEivHerHewGhr;Mutatie in herwaarderingsreserve als gevolg van gerealiseerde herwaarderingen via overige reserves;rj-i_RevaluationReserveRealisedRevaluationsThroughOtherReserves;jenv-bw2-dm:CommercialMember;jenv-bw2-dm:SeparateMember;;rj-dm:HedgedMember
BEivHerHewGva;Mutatie in herwaarderingsreserve als gevolg van gevormde herwaarderingen via afgedekte activa of passiva;rj-i_RevaluationReserveRevaluationsThroughHedgedAssetsLiabilities;jenv-bw2-dm:CommercialMember;jenv-bw2-dm:SeparateMember;;jenv-bw2-dm:RevaluationReserveMember
BEivHerHewGva;Mutatie in herwaarderingsreserve als gevolg van gevormde herwaarderingen via afgedekte activa of passiva;rj-i_RevaluationReserveRevaluationsThroughHedgedAssetsLiabilities;jenv-bw2-dm:CommercialMember;jenv-bw2-dm:SeparateMember;;rj-dm:HedgedMember
BEivHerHewGvr;Mutatie in herwaarderingsreserve als gevolg van gevormde herwaarderingen via overige reserves;rj-i_RevaluationReserveRevaluationsThroughOtherReserves;jenv-bw2-dm:CommercialMember;jenv-bw2-dm:SeparateMember;;jenv-bw2-dm:RevaluationReserveMember
